"iso3","Population (2012)","Population living in urban areas (2010)","Annual average population growth rate (2012)","Number of people affected by natural disasters (2013)","Impact of natural disasters: population affected (average per year-million) (2013)","Poverty headcount ratio at US$1.25 a day (2011)","Under-5 mortality rate (2012)","Population using improved drinking-water sources (2011)","Human development index (HDI) (2011)","GDP growth (annual %) (2011)","Malnutrition prevalence, weight for age (% of children under 5) (2011)","Life expectancy at birth, total (years) (2011)","Physicians (per 1,000 people) (2011)","Mobile cellular subscriptions (per 100 people) (2011)","country_name","Humanitarian funding received (2011)","Total Population of Concern to UNHCR (2013)","Number of last 10 years experiencing active conflict (2013)"
"AFG",29824536,23.239,2.44049378452997,20262,20262,NA,98.5,61,NA,6.11368518168933,NA,60.0653658536585,0.234,60.326319991974,"Afghanistan",NA,NA,9
"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"ALB",3162083,52.322,0.259659555078156,NA,NA,NA,16.7,95,NA,3.0000000000008,NA,77.1632195121951,1.113,98.2915345940227,"Albania",NA,NA,NA
"ARM",2969081,64.066,0.167228487830922,64000,64000,NA,16.4,99,NA,4.69999999999986,NA,74.3321951219512,2.845,108.336200963524,"Armenia","5.60","9,807",NA
"AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"BDI",9849569,10.642,3.18962676485375,NA,NA,NA,104.3,74,0.352,4.19162567788266,NA,53.1365609756098,NA,20.0682741388639,"Burundi","45.99","131,656",4
"BEN",10050702,44.258,2.73239601300599,35494,35494,NA,89.5,76,0.434,3.5306982440983,NA,58.9449024390244,NA,79.4004986812096,"Benin","7.63","5,233",NA
"BFA",16460141,25.667,2.86460196081653,NA,NA,NA,102.4,80,0.34,4.21007772142484,NA,55.4404878048781,NA,48.0271939661325,"Burkina Faso",NA,NA,NA
"BGD",154695368,27.894,1.19194421785353,1319071,1319071,NA,40.9,83,NA,6.70809725518886,36.7999992370605,69.8918048780488,0.356,55.192567230597,"Bangladesh","80.34","231,146",2
"BLZ",324060,44.963,2.43007866301284,NA,NA,NA,18.3,99,NA,2.34224104882455,6.19999980926514,73.4878048780488,NA,70.3196534716074,"Belize",NA,NA,NA
"BOL",10496285,66.399,1.6507000658595,247490,247490,NA,41.4,88,NA,5.17393042157704,NA,66.6269268292683,0.473,80.9077194948494,"Bolivia","14.01","744",NA
"BTN",741822,34.793,1.68472859153505,NA,NA,NA,44.6,97,NA,8.5092780925951,NA,67.4607317073171,NA,66.3791815241785,"Bhutan",NA,NA,NA
"CAF",4525209,38.849,1.98617776947968,8807,8807,NA,128.6,67,0.348,5.32881825390929,NA,48.7930487804878,NA,22.3714033826569,"Central African Republic",NA,NA,5
"CHN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CIV",19839750,50.557,2.2932404076023,NA,NA,NA,107.6,80,0.426,-4.72876050862865,NA,50.0475609756098,NA,89.4496294318181,"Cote d'Ivoire",NA,NA,2
"CMR",21699631,51.512,2.53588457996996,NA,NA,NA,94.9,74,0.492,4.10210686579076,15.1000003814697,54.1373658536585,NA,49.5674001544317,"Cameroon","18.61","110,065",NA
"COG",4337051,63.223,2.6090396451141,NA,NA,NA,96,72,0.531,3.42062127144951,NA,57.7752195121951,NA,91.9390991392684,"Democratic Republic of the Congo",NA,NA,4
"COG",4337051,63.223,2.6090396451141,NA,NA,NA,96,72,0.531,3.42062127144951,NA,57.7752195121951,NA,91.9390991392684,"Congo",NA,NA,4
"COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"COM",717503,27.97,2.43882699360999,0,0,NA,77.6,NA,0.428,2.22720317087773,NA,60.4254878048781,NA,30.9101762884596,"Comoros",NA,NA,NA
"CPV",494401,61.833,0.78074870914616,NA,NA,NA,22.2,89,0.584,4.49401875688156,NA,74.2068292682927,NA,80.8121804646157,"Cabo Verde",NA,NA,NA
"DJI",859652,76.999,1.52449945936498,NA,NA,NA,80.9,92,0.442,NA,NA,60.8030731707317,NA,22.8016195670918,"Djibouti",NA,NA,NA
"DZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"EGY",80721874,43.375,1.66061147301725,161,161,NA,21,99,0.661,1.76242458736475,NA,70.6785609756098,NA,105.079422775456,"Egypt",NA,NA,NA
"ERI",6130922,20.9,3.28401047246117,NA,NA,NA,51.8,NA,0.346,8.67980038573093,NA,61.7109268292683,NA,4.07795441382998,"Eritrea",NA,NA,1
"ETH",91728849,16.757,2.57938476580062,6500,6500,30.65,68.3,49,0.392,11.1782880583305,29.2000007629395,62.2528536585366,NA,15.802858215072,"Ethiopia","632.28","410,446",9
"FJI",874742,51.837,0.782828904238703,NA,NA,NA,22.4,96,NA,1.86766592060256,NA,69.5639756097561,NA,83.7633839946262,"Fiji",NA,NA,NA
"FSM",103395,22.514,-0.0280438452850696,NA,NA,NA,38.5,89,NA,2.05058718765896,NA,68.7379756097561,NA,26.6862623762376,"Micronesia","0.48","0",NA
"GEO",4511800,52.742,0.631449981452772,20000,20000,NA,19.9,98,NA,6.9534997141743,NA,73.8097804878049,4.243,101.28292411046,"Georgia","61.31","284,003",2
"GHA",25366462,51.215,2.17496836613441,25565,25565,NA,72,86,0.553,15.0070716108841,NA,60.7885853658537,NA,85.2749434282812,"Ghana","3.83","19,207",NA
"GIN",11451273,34.968,2.56278585291641,11106,11106,NA,101.2,74,0.352,3.90876145024224,NA,55.5901951219512,NA,40.3170533072079,"Guinea",NA,NA,NA
"GMB",1791225,56.656,3.19119266637033,3300,3300,NA,72.9,89,0.44,-4.29512167215994,NA,58.3748048780488,NA,80.7602569733355,"Gambia",NA,NA,NA
"GNB",1663558,43.22,2.39260561406197,NA,NA,NA,129.1,72,0.364,4.77546584917744,NA,53.7960975609756,NA,45.1065983347166,"Guinea-Bissau","1.36","7,907",NA
"GTM",15082831,49.328,2.52622003686045,4416,4416,NA,32,94,NA,4.23965453107125,NA,71.3279024390244,NA,132.451648507219,"Guatemala",NA,NA,NA
"GUY",795369,28.311,0.565737952890079,NA,NA,NA,35.2,95,NA,5.43712605818867,NA,65.8800731707317,NA,66.8566233648003,"Guyana","0.02","10",NA
"HND",7935846,51.577,2.02618671443048,NA,NA,NA,22.9,89,NA,3.83575562934335,NA,73.1731951219512,NA,103.672009185424,"Honduras",NA,NA,NA
"HTI",10173775,51.99,1.39472263764468,33265,33265,NA,75.6,64,NA,5.5903432666918,NA,62.3059756097561,NA,41.8624233319618,"Haiti",NA,NA,1
"IDN",246864191,49.924,1.24834116576132,510649,510649,16.20166494,31,84,NA,6.49040285267428,NA,70.3915609756098,NA,102.462649564058,"Indonesia",NA,NA,2
"IND",1236686732,30.93,1.26376008334896,2059461,2059461,NA,56.3,92,NA,6.63836379999492,NA,65.9584878048781,NA,73.1980389481979,"India","22.55","190,957",9
"IRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"IRQ",32578209,66.536,2.54353631855133,NA,NA,NA,34.4,85,NA,9.54904531770602,NA,69.0157804878049,NA,80.1551276085399,"Iraq","296.07","1,366,368",9
"ISR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"KEN",43178141,23.571,2.70009025067604,110799,110799,NA,72.9,61,0.515,4.37593361952466,NA,60.3709024390244,0.181,66.8146088986478,"Kenya","479.53","620,148",NA
"KGZ",5582100,35.304,1.21659290695865,NA,NA,5.03,26.6,89,NA,5.95627430713964,NA,69.6024390243903,2.469,116.169188434212,"Kyrgyzstan","27.47","197,769",NA
"KHM",14864646,19.814,1.75626868562351,26500,26500,NA,39.7,67,NA,7.06956994611897,NA,71.0510975609756,NA,94.188210185746,"Cambodia",NA,NA,NA
"KIR",100786,43.807,1.53575375351248,NA,NA,NA,59.9,66,NA,2.73999999999994,NA,68.2096097560976,NA,13.8921914357683,"Kiribati",NA,NA,NA
"KOR",50004000,82.933,0.450979387955634,NA,NA,NA,3.8,98,NA,3.68214437890732,NA,80.9670731707317,NA,107.744610183237,"Democratic People's Republic of Korea","0.00","2,506",NA
"LAO",6645827,33.121,1.89132495227468,152518,152518,NA,71.8,70,NA,8.03865268097479,NA,67.3549512195122,NA,84.0451939593769,"Lao People's Democratic Republic","13.07","0",NA
"LBR",4190435,47.801,2.67818262085906,0,0,NA,74.8,74,0.381,9.13165892499282,NA,59.8598780487805,NA,49.7567834081796,"Liberia","97.19","60,469",NA
"LBY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"LKA",20328000,15.041,NA,188961,188961,NA,9.6,93,NA,8.24681672035447,NA,73.8992926829269,NA,87.5459080323502,"Sri Lanka","127.35","95,102",5
"LSO",2051545,26.847,1.07958268479798,NA,NA,NA,99.6,78,0.456,3.73734506575836,NA,48.219756097561,NA,60.7215710543795,"Lesotho",NA,NA,NA
"MAR",32521143,56.676,1.42992509565755,42,42,NA,31.1,82,0.589,5.7455716998156,3.09999990463257,70.4091219512195,NA,114.0193379644,"Morocco",NA,NA,NA
"MDA",3559541,46.936,-0.0353915588085951,NA,NA,NA,17.6,96,NA,6.41435073842888,NA,68.5752926829268,3.643,90.80797013092,"Republic of Moldova",NA,NA,NA
"MDG",22293914,31.93,2.79727207989694,44879,44879,NA,58.2,48,0.483,1.86576942794363,NA,63.7989024390244,NA,40.042430130559,"Madagascar",NA,NA,NA
"MHL",52555,71.532,0.114231330841318,6384,6384,NA,37.9,94,NA,0.799999999999997,NA,NA,NA,NA,"Marshall Islands",NA,NA,NA
"MLI",14853572,34.277,2.98505517338525,46000,46000,NA,128,65,0.347,2.73011101070861,NA,54.1908292682927,NA,75.0650441913451,"Mali","19.06","368,702",4
"MMR",52797319,32.083,0.849390072143924,73349,73349,NA,52.3,84,NA,NA,NA,64.761243902439,NA,2.37555085873342,"Myanmar",NA,NA,8
"MNG",2796484,67.567,1.52326267835298,NA,NA,NA,27.5,85,NA,17.5136470937798,NA,67.1247073170732,NA,106.82969230004,"Mongolia","1.30","229",NA
"MOZ",25203395,30.958,2.49899907533207,241144,241144,NA,89.7,47,0.322,7.3219805991607,15.6000003814697,49.4878292682927,NA,31.9565018495513,"Mozambique","26.98","13,172",NA
"MRT",3796141,41.23,2.49057266974941,4265,4265,NA,84,50,0.464,3.95450309909407,NA,61.1869512195122,NA,89.5214465522098,"Mauritania",NA,NA,2
"MWI",15906483,15.543,2.8630434026045,33000,33000,NA,71,84,0.415,4.3474951888584,NA,54.1399512195122,NA,25.5640567694802,"Malawi",NA,NA,NA
"NER",17157042,17.616,3.83538951747142,165943,165943,NA,113.5,50,0.297,2.31140021999371,NA,57.4826341463415,NA,28.7247670739272,"Niger",NA,NA,2
"NGA",168833776,49.001,2.78725485401978,81535,81535,NA,123.7,61,0.467,4.65333682668776,24.3999996185303,51.710243902439,NA,57.9606630431853,"Nigeria",NA,NA,4
"NIC",5991733,57.252,1.45565116564122,12000,12000,NA,24.4,85,NA,5.44899572572122,NA,74.1347073170732,NA,81.683568873657,"Nicaragua","12.45","175",NA
"NPL",27474377,16.656,1.16422940165194,50056,50056,NA,41.6,88,NA,3.42182824087472,29.1000003814697,67.5495609756098,NA,49.1762281751458,"Nepal",NA,NA,3
"PAK",179160111,35.882,1.68511447671268,3019114,3019114,NA,85.9,91,NA,2.78594429182155,30.8999996185303,66.2838780487805,NA,61.8134599176268,"Pakistan","1,380.09","2,648,083",9
"PER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"PHL",96706764,48.648,1.72441201101548,1696477,1696477,NA,29.8,92,NA,3.63868073563242,20.2000007629395,68.3914878048781,NA,99.0914142326069,"Philippines",NA,NA,9
"PNG",7167010,12.432,2.17262623689098,35000,35000,NA,63,40,NA,8.99999999999983,NA,62.1621219512195,NA,34.2222710840204,"Papua New Guinea","7.13","9,787",NA
"PRY",6687361,61.374,1.72342204461973,52000,52000,NA,22,NA,NA,4.34068816468735,NA,72.1134634146341,NA,99.3299353409816,"Paraguay",NA,NA,NA
"PSE",4046901,74.133,3.00626405051232,12500,12500,NA,22.6,82,NA,NA,NA,72.8294390243903,NA,70.1221306990741,"occupied Palestinian territory",NA,NA,NA
"RUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"RWA",11457801,18.81,2.7741305647915,NA,NA,63.17,55,69,0.429,8.23954743414805,NA,62.9224146341463,NA,39.89652123078,"Rwanda","24.14","77,342",4
"SDN",37195349,33.084,2.07657796200304,200035,200035,NA,73.1,55,0.419,-3.29432976863781,NA,61.6794146341463,NA,68.7772445403044,"Sudan (the)",NA,NA,9
"SEN",13726021,42.252,2.92209529439938,163319,163319,29.61,59.6,73,0.471,2.06664529330398,19.2000007629395,63.0425853658537,NA,70.1601719394809,"Senegal","10.29","16,575",1
"SLB",549598,20.005,2.13341179532703,3329,3329,NA,31.1,79,NA,9.00000000000003,NA,67.2922195121951,NA,51.0917347122753,"Solomon Islands",NA,NA,NA
"SLE",5978727,38.876,1.91214734805776,2257,2257,51.71,181.6,57,0.348,6.02972691527859,NA,45.1025853658537,NA,36.4334375417165,"Sierra Leone","16.13","4,218",NA
"SLV",6297394,64.28,0.655621166744914,NA,NA,NA,15.9,90,NA,2.21683561040105,NA,71.8687073170732,NA,132.925644500325,"El Salvador",NA,NA,NA
"SOM",10195134,37.289,2.85778261273734,50000,50000,NA,147.4,30,NA,NA,NA,54.3579512195122,NA,18.1673155257979,"Somalia","752.45","1,144,309",7
"SSD",10837527,17.858,4.30270250164013,NA,NA,NA,104,NA,NA,1.56622107665866,NA,54.0455609756098,NA,17.3391862719883,"South Sudan","477.35","625,489",1
"SSD",10837527,17.858,4.30270250164013,NA,NA,NA,104,NA,NA,1.56622107665866,NA,54.0455609756098,NA,17.3391862719883,"South Sudan","477.35","625,489",2
"SSD",10837527,17.858,4.30270250164013,NA,NA,NA,104,NA,NA,1.56622107665866,NA,54.0455609756098,NA,17.3391862719883,"South Sudan","477.35","625,489",1
"SSD",10837527,17.858,4.30270250164013,NA,NA,NA,104,NA,NA,1.56622107665866,NA,54.0455609756098,NA,17.3391862719883,"South Sudan","477.35","625,489",2
"STP",188098,61.988,2.65102051012848,NA,NA,NA,53.2,97,0.522,4.94344933601178,NA,66.0032682926829,NA,62.8015525966688,"Sao Tome and Principe",NA,NA,NA
"SWZ",1230985,21.316,1.54115947512782,NA,NA,NA,79.7,72,0.536,0.299999999999983,NA,48.6613902439024,NA,63.2375785684881,"Swaziland",NA,NA,NA
"SYR",22399254,55.673,1.97287204230491,NA,NA,NA,15.1,90,NA,NA,NA,74.7705853658537,NA,59.2404373381603,"Syrian Arab Republic","109.64","4,619,088",2
"TCD",12448175,21.739,3.00197704046213,NA,NA,NA,149.8,50,0.336,0.0828697988818305,NA,50.2361951219512,NA,30.3447828843571,"Chad",NA,NA,6
"TGO",6642928,37.533,2.60206799248753,NA,NA,28.22,95.5,59,0.455,4.79691750115592,NA,55.8076585365854,NA,41.6441347625204,"Togo",NA,NA,NA
"THA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"THA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"THA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"THA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"TJK",8008990,26.5,2.45388909141654,2500,2500,NA,58.3,66,NA,7.40000000000012,NA,67.1352195121951,1.899,80.922858404192,"Tajikistan","9.86","5,928",2
"TLS",1210233,27.96,2.87960996008512,NA,NA,NA,56.7,69,NA,12.0303970887295,NA,66.4918048780488,0.073,56.0206988460202,"Timor-Leste",NA,NA,NA
"TON",104941,23.368,0.369460311907563,NA,NA,NA,12.8,99,NA,2.88319889880204,NA,72.335243902439,NA,52.604395814603,"Tonga","0.23","3",NA
"TUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"TZA",47783107,26.279,3.03514840183491,0,0,NA,54,53,0.47,6.44879720121862,NA,60.0746585365854,NA,55.3698039118312,"United Republic of Tanzania",NA,NA,NA
"UGA",36345860,15.158,3.35107662798138,25671,25671,NA,68.9,75,0.454,6.62038414816644,14.1000003814697,58.0175365853659,NA,47.504727429653,"Uganda","55.84","265,860",8
"UKR",45593300,68.685,-0.247099230432045,NA,NA,NA,10.7,98,NA,5.19999999999993,NA,70.8092682926829,3.517,121.338819586723,"Ukraine",NA,NA,NA
"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"UZB",29776850,36.204,1.47368702118789,NA,NA,NA,39.6,87,NA,8.29999999999991,NA,67.9803902439024,NA,90.3737515960822,"Uzbekistan","1.49","141",1
"VNM",88775500,30.393,1.05937332683473,5011,5011,NA,23,96,NA,6.24030274887527,NA,75.4579024390244,1.159,141.599870213696,"Vietnam",NA,NA,NA
"VUT",247262,24.589,2.24285534408512,NA,NA,NA,17.9,91,NA,1.4297214055719,NA,71.1280487804878,NA,64.4479646617972,"Vanuatu",NA,NA,NA
"WSM",188889,20.078,0.77594339117364,NA,NA,NA,17.8,98,NA,1.41505712861604,NA,72.6957804878049,NA,NA,"Samoa",NA,NA,NA
"YEM",23852409,31.742,2.32513592206286,49114,49114,NA,60,55,NA,-10.4796677502223,NA,62.7184878048781,NA,50.0682151539512,"Yemen","168.04","655,104",4
"ZMB",14075099,38.725,3.18554975136605,1800,1800,NA,88.5,64,0.443,6.83614523874692,NA,55.8331463414634,NA,59.8846645497703,"Zambia",NA,NA,NA
"ZWE",13724317,38.13,2.69985203826094,9700,9700,NA,89.8,80,0.387,10.5517368249836,NA,55.9462195121951,NA,68.8687808683725,"Zimbabwe",NA,NA,NA
